Site	Status	Sex	Protocol	sample_id	file name	file type	url
MOM	unknown	female	CPT method	MOHD_EA100024	MOHD_EA100024_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100024/MOHD_EA100024_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	OPC method	MOHD_EA100025	MOHD_EA100025_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100025/MOHD_EA100025_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	OPC method	MOHD_EA100025	MOHD_EA100025_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100025/MOHD_EA100025_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	OPC method	MOHD_EA100025	MOHD_EA100025_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100025/MOHD_EA100025_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	OPC method	MOHD_EA100025	MOHD_EA100025_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100025/MOHD_EA100025_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	Buffy Coat method	MOHD_EA100026	MOHD_EA100026_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100026/MOHD_EA100026_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	Buffy Coat method	MOHD_EA100026	MOHD_EA100026_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100026/MOHD_EA100026_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	Buffy Coat method	MOHD_EA100026	MOHD_EA100026_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100026/MOHD_EA100026_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	Buffy Coat method	MOHD_EA100026	MOHD_EA100026_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100026/MOHD_EA100026_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100027	MOHD_EA100027_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100027/MOHD_EA100027_signal-FC_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100027	MOHD_EA100027_signal-pvalue_GRCh38_v0.bigWig	p-value signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100027/MOHD_EA100027_signal-pvalue_GRCh38_v0.bigWig
MOM	unknown	female	CPT method	MOHD_EA100027	MOHD_EA100027_peaks-FDR5_GRCh38_v0.bigBed	FDR 0.05 peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100027/MOHD_EA100027_peaks-FDR5_GRCh38_v0.bigBed
MOM	unknown	female	CPT method	MOHD_EA100027	MOHD_EA100027_peaks-pseudorep_GRCh38_v0.bigBed	Pseudorep peaks	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100027/MOHD_EA100027_peaks-pseudorep_GRCh38_v0.bigBed
MOM	unknown	female	OPC method	MOHD_EA100028	MOHD_EA100028_signal-FC_GRCh38_v0.bigWig	Fold change signal	https://downloads.mohdconsortium.org/2_ATAC/MOHD_EA100028/MOHD_EA100028_signal-FC_GRCh38_v0.bigWig
